98,1431953
77,553875
44,78055479
39,25215449
34,19512845
33,8492832
33,13709818
31,98428069
29,10223698
19,25973747
17,14111511
15,46824884
15,24024716
14,94820007
14,43071311
14,34617316
14,29237501
14,10792421
13,10625391
12,12763995
11,75617654
11,65114206
11,41801674
11,05423878
10,75450624
10,17297386
10,04232121
9,314765286
9,286585303
8,871571008
7,95700247
7,867338887
7,795608022
7,65214629
7,606033591
7,595786324
7,549673625
7,498437292
7,419020976
7,221761095
6,873354033
6,58643057
6,486519721
6,401979772
6,294383473
6,153483558
5,589883898
5,523276666
5,479725783
5,431051267
5,254285919
5,182555053
5,174869604
5,151813254
4,908440673
4,478055479
4,431942779
4,40888643
4,226997448
4,226997448
4,078412084
4,004119401
3,988748501
3,850410403
3,81454497
3,80685952
3,770994087
3,637779622
3,596790556
3,594228739
3,545554223
3,51737424
3,489194257
3,361103426
3,322676176
3,26631621
3,110045395
3,010134547
3,005010913
2,989640014
2,979392747
2,948650947
2,923032781
2,907661881
2,861549182
2,759076516
2,74882925
2,74882925
2,730896533
2,70271655
2,6950311
2,664289301
2,654042034
2,582311168
2,572063902
2,561816635
2,531074836
2,523389386
2,47471487
2,454220337
